campeão;região;título;função;frase;história
Bardo;Runeterra;O protetor andarilho;Suporte;"O tilintar de seus passos são os ecos da mudança."~ Ryze;Viajante de galáxias distantes, Bardo é um agente do acaso que luta para manter um equilíbrio em que a vida possa suportar a indiferença do caos. Muitos habitantes de Runeterra entoam canções que louvam sua extraordinária índole, mas todos concordam que o andarilho cósmico é chegado a artefatos de grande poder mágico. Cercado por um jubiloso coral de prestativos mipes espirituais, é impossível enxergar suas ações como malevolentes, pois Bardo sempre serve ao bem maior... de sua própria maneira estranha.
Blitzcrank;Zaun;O grande golem a vapor;Tanque;"UMA ÚNICA ENGRENAGEM EM MOVIMENTO PODE FAZER TODA A DIFERENÇA.";Blitzcrank é um autômato enorme e praticamente indestrutível de Zaun, construído originalmente para lidar com lixo tóxico. No entanto, ele achou seu propósito principal muito restritivo e modificou sua própria forma para ajudar as pessoas menos favorecidas do Sumidouro. Blitzcrank usa sua força e robustez para proteger os outros sem pedir nada em troca, estendendo seu punho de metal ou surto de energia para derrotar qualquer encrenqueiro.
Brand;Runeterra;A vingança flamejante;Mago;''Este lugar vai queimar, não pelas cinzas que voam ou o sopro do vento, mas pela vingança feita com minhas mãos.'';A criatura conhecida como Brand já se chamou Kegan Rodhe, um membro da gélida Freljord, e é hoje uma lição do que a tentação por poderes maiores pode fazer. Enquanto buscava uma das lendárias Runas Globais, Kegan traiu seus companheiros e a pegou para si e, em um instante, o homem já não existia mais. Com sua alma consumida pelo fogo e seu corpo um invólucro de uma chama viva, Brand agora vaga por Valoran em busca de outras runas, jurando vingança por erros que ele nunca poderia ter sofrido em uma dúzia de vidas mortais.
Braum;Freljord;O coração de freljord;Suporte;"Hoje, lutamos como inimigos. Amanhã, podemos lutar como irmãos.";Abençoado com bíceps gigantescos e um coração maior ainda, Braum é um amado herói de Freljord. Cada salão de hidromel ao norte de Frostheld brinda sua força lendária que teria derrubado uma floresta de carvalhos em uma única noite e demolido uma montanha inteira com um soco. Carregando uma porta de cofre encantada como seu escudo, Braum vaga pelo norte congelado com seu sorriso abigodado tão grande quanto seus músculos, um verdadeiro amigo para os necessitados.
Caitlyn;Piltover;A xerife de piltover;Atirador;''Vá em frente, pode correr. Eu te dou uma vantagem de cinco minutos.'';Conhecida como sua melhor pacificadora, Caitlyn também é a melhor escolha de Piltover para livrar a cidade de seus elementos criminosos elusivos. É comum que ela faça dupla com Vi, agindo como um contraponto de calmaria para a natureza impetuosa de sua parceira. Mesmo carregando um rifle hextec único, a arma mais poderosa de Caitlyn é seu intelecto superior, que permite que ela prepare elaboradas armadilhas para qualquer fora da lei tolo o suficiente para operar na Cidade do Progresso.
Camille;Piltover;A sombra de ferro;Lutador;"Precisão é a diferença entre um açougueiro e um cirurgião.";Munida para agir além dos limites da lei, Camille é a chefe de inteligência do Clã Ferros e uma elegante agente de elite, responsável pelo bom funcionamento da máquina de Piltover e de Zaun, seu submundo. Adaptável e precisa, ela vê técnicas medíocres como uma vergonha que precisa ser consertada. Com uma mente tão afiada quanto suas lâminas, a busca de Camille por superioridade através de aprimoramentos hextec para seu corpo fez com que muitos se perguntassem se ela é agora mais máquina do que mulher.
Cassiopeia;Noxus;O abraço da serpente;Mago;"Não há antídoto para mim.";Cassiopeia é uma criatura mortal dedicada a manipular os outros para fazer suas vontades sinistras. A mais bela e mais nova filha da nobre família Du Couteau de Noxus aventurou-se pelas criptas profundas sob Shurima em busca de poderes ancestrais. Lá, ela foi mordida por um terrível guardião de uma tumba, cujo veneno a transformou em uma víbora predadora. Astuciosa e ágil, Cassiopeia agora desliza sob o véu da noite, petrificando seus inimigos com seu olhar nefasto.
Cho'Gath;Vazio;O terror do vazio;Tanque;"Sua alma alimentará o Vazio!";A partir do momento em que Cho’Gath emergiu da terra para a luz do sol ofuscante de Runeterra, a besta foi motivada por pura fome insaciável. A mais perfeita expressão do desejo do Vazio de consumir toda a vida, a biologia complexa de Cho’Gath rapidamente converte matéria em crescimento corporal novo, aumentando sua massa e densidade muscular ou endurecendo sua carapaça externa como um diamante orgânico. Quando crescer não supre as necessidades dessa criatura do Vazio, ele vomita o material em excesso como espinhos afiados, deixando sua presa espetada e pronta para ser devorada mais tarde.
Corki;Bandópolis;O bombardeiro ousado;Atirador;"A morte que vem do céu!";Corki, o piloto yordle, ama duas coisas acima de qualquer outra: voar e seu glamoroso bigode... não necessariamente nessa ordem. Depois de deixar Bandópolis, ele se estabeleceu em Piltover e se apaixonou pelas máquinas maravilhosas que encontrou por lá. Ele se dedicou ao desenvolvimento de engenhocas voadoras, liderando uma força de defesa aérea de veteranos experientes conhecidos como os Serpentes Gritantes. Calmo sob fogo, Corki patrulha os céus ao redor de seu novo lar e nunca encontrou um problema que uma boa barragem de mísseis não pudesse resolver.
Darius;Noxus;A mão de Noxus;Lutador;“A História só lembra dos vitoriosos. Fique com Noxus e jamais seja esquecido”.;Não há símbolo maior do poder de Noxus do que Darius, o mais temido e experiente líder da nação. Vindo de origens humildes para se tornar a Mão de Noxus, ele corta seu caminho através dos inimigos do império; muitos dos quais são, inclusive, noxianos. Sabendo que ele nunca duvida da integridade de sua causa, e que nunca hesita assim que seu machado é levantado, aqueles que desafiam o comandante da Legião Trifária não esperam por misericórdia.
Diana;Monte Targon;O escárnio da lua;Lutador;“Sou a luz que percorre a alma da lua.“;Empunhando sua espada lunar crescente, Diana luta como uma guerreira dos Lunari, um credo quase extinto nas terras ao redor do Monte Targon. Vestida com uma armadura brilhante da cor da neve de inverno noturna, ela é a personificação do poder da lua prateada. Dotada com a essência de um Aspecto de além do cume de Targon, Diana já não é mais totalmente humana e tem dificuldades para dominar seu poder e propósito neste mundo.
Dr. Mundo;Zaun;O louco de Zaun;Lutador;"Mundo já avisar que isso deve doer muito.";Um homicida implacável, louco e terrivelmente roxo, Dr. Mundo é a figura responsável por manter muitos cidadãos de Zaun dentro de casa em noites mais escuras. Esta monstruosidade monossilábica parece não buscar nada além de dor—tanto para os outros quanto para si mesmo. Portando seu enorme cutelo de carne como se não fosse nada, Mundo é conhecido por ter capturado e torturado dezenas de cidadãos de Zaun para suas nefastas “operações”, que parecem não ter nenhum objetivo ou propósito aparente. Ele é brutal. Ele é imprevisível. Ele vai para onde quer. E ele, tecnicamente, não é um doutor.
Draven;Noxus;O carrasco de Noxus;Atirador;''O melhor' é onde eu decido colocar os limites de cada dia.'';Em Noxus, guerreiros conhecidos como calculistas lutam um contra o outro em uma arena onde sangue é derramado e a força é testada, mas nenhum foi tão celebrado como Draven. Um antigo soldado, ele descobriu que as multidões apreciavam seu instinto pelo drama, sem mencionar os jatos de sangue vindos de seus machados giratórios. Viciado no espetáculo de sua própria perfeição impetuosa, Draven jurou derrotar qualquer que seja seu oponente para garantir que seu nome será cantado pelo império para todo o sempre.
Ekko;Zaun;O rapaz que estilhaçou o tempo;Assassino;“Meus dispositivos funcionam melhor quando não funcionam do jeito previsto... que é basicamente o tempo todo”.;Um prodígio das ruas violentas de Zaun, Ekko manipula o tempo para reverter qualquer situação a seu favor. Usando sua própria invenção, o Revo-Z, ele explora as possíveis bifurcações da realidade para criar o momento perfeito. Embora valorize muito sua liberdade, quando algo ameaça seus amigos, ele não mede esforços para defendê-los. Para meros observadores, Ekko parece conseguir o impossível sempre de primeira.
Elise;Ilhas das Sombras;A aranha rainha;Mago;'Beleza também é poder, e pode ser mais ágil e mortal do que uma espada.';Elise é uma predadora mortal que vive em um palácio escuro e reservado nas profundezas da cidade mais antiga de Noxus. Ela já foi mortal um dia, dama de uma família antes poderosa, mas a mordida de uma aranha peçonhenta a transformou em algo belo, imortal e completamente desumano, uma criatura aracnídea que atrai vítimas ingênuas para sua teia. Para manter sua eterna juventude, Elise agora prefere se alimentar dos inocentes e descrentes, e são poucos os que conseguem resistir aos seus encantos.
Evelynn;Runeterra;Abraço da agonia;Assassino;“Tem planos para hoje à noite? Que tal nos reunirmos para libertar esse vasto poço de tormento dentro de você?”;Nas ruelas sombrias de Runeterra, a criatura demoníaca Evelynn busca sua próxima vítima. Ela atrai presas com sua voluptuosa aparência de fêmea humana, mas assim que a vítima sucumbe ao seu charme, a verdadeira forma de Evelynn é revelada. A criatura então sujeita suas vítimas a um tormento inenarrável, gratificando-se com a dor alheia. Para ela, esses contatos são casinhos inocentes; Para o resto de Runeterra, são histórias macabras de encontros lascivos que deram errado e lembretes terríveis sobre o custo do desejo desenfreado.
Ezreal;Piltover;O explorador pródigo;Atirador;"É hora de mostrar o que é habilidade de verdade!";Um explorador confiante de Piltover com uma habilidade incomum de encontrar e sair de apuros, Ezreal viaja por Runeterra em busca de aventuras. Armado com uma luva mágica encontrada nas ruínas da antiga Shurima, ele busca os mistérios mais enigmáticos do mundo. Ezreal atira projéteis de energia mística, se deslocando por lugares traiçoeiros e desconhecidos com um sorriso convencido no rosto.
Fiddlesticks;Runeterra;O mensageiro da morte;Mago;"Nenhuma arma corta mais fundo que o medo.";Fiddlesticks é um espantalho vivo horripilante que espreita pelas sombras carregando uma foice cruel e atormentando os incautos. Ele já foi um homem solitário acusado de ter trazido a fome para sua vila que foi então amarrado e deixado para morrer de fome no seu próprio campo infértil. Ressuscitado pelo bando brutal de corvos que se alimentou de sua carne, Fiddlesticks agora se deleita em aterrorizar suas vítimas antes de reivindicar suas vidas entre um turbilhão de penas e bicos manchados de sangue.
Fiora;Demacia;A grande duelista;Lutador;"Eu busco sua morte em nome da honra. Embora você não tenha nenhuma, morrerá mesmo assim.";A duelista mais temida de toda Valoran, Fiora é renomada tanto por suas maneiras bruscas e perspicácia quanto pela velocidade de sua rapieira de aço. Nascida na Casa Laurent no reino de Demacia, Fiora tomou o controle da família de seu pai no rastro de um escândalo que quase os destruiu. A reputação da Casa Laurent foi manchada, mas Fiora não mede esforços para restaurar a honra de sua família e devolvê-los a seu lugar de direito entre os melhores de Demacia.
Fizz;Runeterra;O trapaceiro das marés;Assassino;“Vocês não podem nem respirar na água. Que chatos.”;Fizz é um yordle anfíbio que vive entre os recifes que rodeiam as Águas de Sentina. É comum que ele busque e devolva os dízimos jogados no mar por capitães supersticiosos, mas mesmo o mais velho dos marinheiros sabe que não é uma boa ideia irritá-lo. São muitas as histórias daqueles que subestimaram seu caráter escorregadio. Frequentemente confundido com algum tipo de espírito marinho imprevisível, ele parece capaz de comandar enormes bestas das profundezas e se diverte confundindo tanto seus inimigos quanto seus aliados.
Galio;Demacia;O colosso;Tanque;"Fique atrás de mim, demaciano! Você pode não ter percebido, mas sou bem grande.";Do lado de fora da reluzente cidade de Demacia, Galio, o colosso de pedra, vigia com zelo. Construído como bastião contra magos inimigos, ele geralmente permanece imóvel por décadas até que a presença de uma magia poderosa o desperte. Uma vez ativado, Galio aproveita bem o tempo, deleitando-se com a emoção de uma luta e da rara honra de defender seus compatriotas. Contudo, os triunfos dele são tanto doces quanto amargos, pois a magia que ele destrói é a mesma que o movimenta, e cada vitória o devolve à inércia.
Gangplank;Águas de Sentina;O terror dos doze mares;Lutador;"Eu estava matando e afundando navios de guerra noxianos quando você ainda estava mijando em suas ceroulas, garoto. Você não quer me enfrentar.";Tão inesperado quanto brutal, o autointitulado Rei dos Ladrões conhecido como Gangplank é temido por todos os mares. Ele já reinou na cidade portuária de Águas de Sentina e, apesar de seu reinado ter terminado, existem aqueles que acreditam que isso só o tornou mais perigoso. Gangplank preferiria ver Águas de Sentina banhadas de sangue mais uma vez do que deixar que outro a controlasse. E agora, armado com pistola, sabre e barris de pólvora, ele está determinado a retomar o que perdeu.
Garen;Demacia;O poder de demacia;Lutador;"Este reino e suas pessoas me deram tudo que tenho. Que tipo de homem eu seria se desse menos que isso em troca?";Um guerreiro nobre e orgulhoso, Garen faz parte da Vanguarda Destemida. Popular entre seus companheiros e respeitado o suficiente por seus inimigos, sua reputação é nada mais do que o esperado de um herdeiro da prestigiosa família Crownguard, encarregada de defender Demacia e seus ideais. Vestido com uma armadura resistente à magia e empunhando uma poderosa espada, Garen está sempre pronto para confrontar magos e feiticeiros no campo de batalha, em um verdadeiro furacão de aço virtuoso.
Gnar;Runeterra;O yordle pré-histórico;Lutador;"Gnar!";Gnar é um yordle primitivo cujas artimanhas brincalhonas podem irromper em uma raiva infantil em um instante, transformando-o em uma besta gigantesca determinada a destruir. Congelada em Gelo Verdadeiro por milênios, essa criatura curiosa se libertou e agora saltita por um mundo mudado, que ela vê como exótico e maravilhoso. Encantado pelo perigo, Gnar atira tudo que puder nos seus inimigos, seja seu bumerangue ou um prédio próximo.
Gragas;Runeterra;O badernista;Lutador;''Isso aqui sim vai colocar cabelo no seu peito!'';Igualmente alegre e imponente, Gragas é um gigante e arruaceiro mestre-cervejeiro em uma busca pessoal pelo mais perfeito caneco de cerveja. Vindo de partes desconhecidas, ele busca por ingredientes raros entre a vastidão intocada de Freljord, testando cada receita enquanto segue seu caminho. Frequente embriagado e extremamente impulsivo, ele é lendário pelas lutas de bar que começa, que quase sempre acabam em festas que duram a noite toda e em muitos danos de propriedade. Qualquer aparição de Gragas certamente será seguida de bebidas e destruição, nessa ordem
Graves;Águas de Sentina;O foragido;Atirador;"Estamos aqui pelo seu ouro, não suas cabeças, então não queira bancar o herói.";Malcolm Graves, mercenário, apostador e bandido de renome, é um homem procurado em cada uma das cidades e impérios que visitou. Apesar do seu temperamento explosivo, ele é dono de uma noção rigorosa de honra entre criminosos, normalmente aplicada com o fogo da sua espingarda, Destino. Nos últimos anos, ele reconciliou uma parceria problemática com Twisted Fate e, juntos, eles prosperaram mais uma vez no tumulto do submundo criminoso de Águas de Sentina.
Hecarim;Ilhas das Sombras;A sombra da guerra;Lutador;'Acabem com suas tropas e cavalguem contra eles sem piedade. Destruam os vivos e esbanjem-se em seu temor.';Hecarim é a fusão espectral de homem e animal, amaldiçoado a cavalgar entre as almas dos vivos por toda a eternidade. Quando as Ilhas Abençoadas caíram nas sombras, esse cavaleiro orgulhoso foi obliterado pelas energias destrutivas da Ruína, junto com toda sua cavalaria e suas montarias. Agora, assim que a Névoa Negra se espalha por Runeterra, ele lidera seu ataque devastador, deleitando-se com a matança e destruindo seus inimigos sob seus cascos de armadura.
Heimerdinger;Piltover;O inventor idolatrado;Mago;"Impossível', você diz? Bobagem. Espere só até ver meus cálculos!";Um cientista brilhante, mesmo que excêntrico, o Professor Cecil B. Heimerdinger é um dos inventores mais inovadores e estimados que Piltover já conheceu. Incansável em seu trabalho ao ponto da obsessão neurótica, ele busca responder as questões mais impenetráveis do universo. Apesar de suas teorias frequentemente parecerem obscuras e esotéricas, Heimerdinger produziu algumas das máquinas mais miraculosas, sem mencionar letais, de Piltover e ajusta constantemente suas invenções para torná-las ainda mais eficientes.
Illaoi;Águas de Sentina;A sacerdotisa cráquem;Lutador;"Sabedoria é, quase sempre, um chute na cabeça.";O poderoso porte físico de Illaoi só perde para sua fé indomável. Como profetisa do Grande Cráquem, ela usa um gigantesco totem dourado para arrancar o espírito de seus inimigos de seus corpos e estilhaçar a sua percepção da realidade. Todos os que desafiam a ''Verdadeira Portadora de Nagacáburos'' logo descobrem que Illaoi nunca vai à luta sozinha — o deus da Ilha das Serpentes luta a seu lado.
Irelia;Ionia;A dançarina das Lâminas;Lutador;“Houve um tempo em que eu dançava sozinha... Hoje, eu danço pelas Primeiras Terras.”;A ocupação noxiana de Ionia produziu muitos heróis, mas nenhum mais improvável do que a jovem Irelia de Navori. Treinada nas antigas danças de Ionia, ela adaptou sua arte à guerra, usando movimentos graciosos e cuidadosamente executados para levitar uma série de lâminas fatais. Após provar seu valor como guerreira, ela foi nomeada líder e representante da resistência e até hoje se dedica à preservação de sua terra natal.
Ivern;Runeterra;O pai do verde;Suporte;"A sagacidade dos cogumelos sempre me surpreende.";Ivern Bramblefoot, conhecido por muitos como o Protetor Verde, é um peculiar meio-homem, meio-árvore que vagueia pelas florestas de Runeterra, cultivando vida por onde ele passa. Ele conhece os segredos do mundo natural, e cultiva amizades profundas com tudo que cresce, voa e rasteja. Ivern caminha pela natureza, transmitindo sua estranha sabedoria a todos que ele encontra, enriquecendo as florestas e, ocasionalmente, confiando seus segredos a borboletas de língua solta.
Janna;Zaun;A fúria da tormenta;Suporte;"Não tema os ventos da mudança - eles sempre o protegerão.";Armada com o poder das ventanias de Runeterra, Janna é um misterioso e elemental espírito de vento que protege os desfavorecidos de Zaun. Alguns acreditam que Janna surgiu a partir dos clamores dos marinheiros de Runeterra, que rezavam por ventos mais amistosos enquanto navegavam por águas turbulentas e severas tempestades. Desde então, suas graças e sua proteção têm sido imploradas nas profundezas de Zaun, onde Janna se tornou um símbolo de esperança para os necessitados. Ninguém sabe onde nem quando ela pode aparecer, mas diversas vezes ela chega para ajudar.
Jarvan IV;Demacia;O exemplo de Demacia;Tanque;"Palavras podem formar um governante, mas apenas ações entram para a história.";O Príncipe Jarvan, descendente da Dinastia Lumescudo, é o atual herdeiro do trono de Demacia. Criado para ser um exemplo das grandes virtudes de sua nação, ele é forçado a equilibrar as grandes expectativas colocadas sobre ele com seu próprio desejo de lutar nas linhas de frente. Jarvan inspira suas tropas com sua coragem temível e determinação altruísta, levantando a bandeira com as cores da família e revelando sua verdadeira força como futuro líder de seu povo.
Jax;Runeterra;O grão-mestre das armas;Lutador;"Quem quer um pedaço do campeão?";Incomparável tanto por suas habilidades com armamentos incomuns quanto pelo seu sarcasmo mordaz, Jax é o último mestre de armas de Icathia conhecido. Depois de sua terra natal ter sido derrotada por sua própria arrogância ao libertar o Vazio, Jax e seu povo juraram proteger o pouco que restou. Com a magia se espalhando pelo mundo, essa ameaça dormente acordou novamente e agora Jax vaga por Valoran carregando a última luz de Icathia e testando todo guerreiro encontrar para descobrir se algum deles é forte o suficiente para lutar ao seu lado...
Jayce;Piltover;O defensor do amanhã;Lutador;''Confie em mim: se estivermos atentos, Piltover poderá suprimir qualquer ameaça. Ei, eu sou a prova viva disto!'';Jayce é um brilhante inventor que dedicou sua vida a defender Piltover e sua implacável busca pelo progresso. Com seu martelo hextech transformador em mãos, Jayce usa sua força, coragem e considerável inteligência para proteger sua cidade natal. Embora seja aclamado pela cidade como herói, ele não gosta muito da atenção que o heroísmo traz. Mesmo assim, o coração de Jayce está no lugar certo e até aqueles que invejam suas habilidades naturais são gratos à forma como ele protege a Cidade do Progresso.
Jhin;Ionia;O virtuoso;Atirador;"A arte requer uma certa... crueldade.";Jhin é um meticuloso psicopata criminoso que acredita que o assassinato é uma arte. Outrora um prisioneiro ioniano, mas libertado por membros obscuros do conselho regimental de Ionia, o assassino serial agora trabalha como assassino de seu conluio. Usando a própria arma como pincel, Jhin cria obras artisticamente brutais, horrorizando vítimas e espectadores. Ele sente um cruel prazer ao fazer suas encenações nefastas, tornando-o a escolha ideal para transmitir a mais poderosa das mensagens: o terror.
Jinx;Zaun;O gatilho desenfreado;Atirador;"Explosivos voláteis são tudo que uma garota pode querer!";Uma criminosa impulsiva e maníaca de Zaun, Jinx vive para disseminar o caos sem se preocupar com as consequências. Com um arsenal de armas mortais, ela detona as explosões mais altas e mais luminosas para deixar um rastro de destruição e pânico por onde passa. Jinx abomina o tédio e deixa alegremente sua marca caótica de pandemônio aonde quer que vá.
Kai'Sa;Vazio;Filha do Vazio;Atirador;"Minha aparência pode assustar você, mas não se engane, eu estou do seu lado e nós lutaremos até o final.";Capturada pelo Vazio quando era apenas uma criança, Kai’Sa conseguiu sobreviver por pura persistência e força de vontade. Suas experiências fizeram dela uma caçadora mortífera e, para alguns, a anunciadora de um futuro que seria melhor não viver para ver. Inserida em uma desconfortável simbiose com uma carapaça viva do Vazio, é chegada a hora de decidir se ela perdoará os mortais que a chamam de monstro e derrotará a ameaçadora escuridão junto a eles… ou se ela simplesmente os esquecerá, deixando o Vazio consumir o mundo que um dia também a deixou para trás.
Kalista;Ilhas das Sombras;A lança da vingança;Atirador;'Quando injustiçados, buscamos justiça. Quando feridos, contra-atacamos. Quando traídos, a Lança da Vingança ataca!';Um espectro de ira e retaliação, Kalista é o espírito imortal da vingança, um pesadelo blindado invocado da Ilha das Sombras para caçar desertores e traidores. Os traídos podem clamar em sangue para serem vingados, mas Kalista apenas responde àqueles cuja causa ela julga serem dignos de suas habilidades. Aqueles que se tornam o foco da fúria de Kalista devem fazer as pazes com seu destino, pois qualquer pacto selado com a caçadora sombria só pode terminar com o fogo frio e penetrante de suas lanças de alma.
Karma;Ionia;A iluminada;Mago;“Deixe que o Espírito decida. Não há justiça mais exata, não há recompensa mais justa.”;Nenhum Campeão exemplifica as tradições espirituais de Ionia tão bem quanto Karma. Ela é personificação viva de uma alma anciã reencarnada inúmeras vezes, carregando todas as suas memórias acumuladas a cada vida nova. Com esse conhecimento, ela serve como um farol espiritual para seu povo, concedendo sabedoria sem limites e cura em tempos de crise. Apesar de ser abençoada com poderes que poucos podem compreender, ela raramente usa sua magia para destruição, pois isso sempre vem com um custo considerável, tanto para ela quanto para a terra que ela mais ama.
Karthus;Ilha das Sombras;A voz mortal;Mago;'A morte não é o fim da jornada, é apenas o começo...';Sendo o presságio do fim, Karthus é um espírito imortal cujas canções assombradoras são um prelúdio para o terror de sua aparição horripilante. Os vivos temem a eternidade dos mortos-vivos, mas Karthus vê apenas beleza e pureza em seu abraço, uma união perfeita de vida e morte. Quando Karthus emerge das Ilhas das Sombras, ele traz a alegria da morte aos mortais, como um apóstolo dos mortos-vivos.
Kassadin;Vazio;O andarilho do Vazio;Assassino;"São poucos os que conseguem realmente trilhar os caminhos entre os mundos.";Abrindo um rastro ardente por um dos lugares mais sombrios do mundo, Kassadin sabe que seus dias estão contados. Guia e explorador experiente de Shurima, ele escolhera criar sua família nas pacatas tribos do sul; até o dia em que sua aldeia foi consumida pelo Vazio. Ele jurou vingança, combinando vários artefatos arcanos e tecnologias proibidas para os momentos difíceis que estavam por vir. Finalmente, Kassadin partiu para as terras abandonadas de Icathia, pronto para enfrentar qualquer criatura monstruosa do Vazio em sua busca pelo tal profeta, Malzahar.
Katarina;Noxus;A lãmina sinistra;Assassino;''Nunca questione minha lealdade. Você jamais saberá o que eu aguento por ela.'';Decisiva em seus julgamentos e letal em combate, Katarina é a assassina de maior calibre de Noxus. Filha mais velha do lendário General Du Couteau, Katarina é reconhecida por seus assassinatos eficientes contra inimigos desavisados. Sua ambição ardente a levou a buscar alvos extremamente protegidos, mesmo correndo o risco de colocar seus aliados em perigo; mas não importa a missão, Katarina não hesita ao executar seu dever no meio de um furacão de adagas serrilhadas.
Kayle;Runeterra;A julgadora;Lutador;''A justiça chega em asas rápidas.'';Uma grande heroína e a mais forte entre seu povo, Kayle é uma guerreira angelical dedicada a purificar aqueles além da redenção. Depois que um conflito dividiu seu povo, ela vestiu sua armadura encantada e pegou sua espada em chamas pelo nome da ordem, renegando sua própria família no processo. Quando Kayle desce no campo de batalha, sua justiça é imediata, pois ninguém pode escapar da luz divina e de sua fúria íntegra.
